Stanovanjske razmere, statistiène regije, Slovenija, letno;;;
;;;
STATISTIÈNA REGIJA;LETO;STANOVANJSKE RAZMERE;Stanovanjske razmere
Jugovzhodna Slovenija;2010;Slabo stanje stanovanja;37
Jugovzhodna Slovenija;2011;Slabo stanje stanovanja;41
Jugovzhodna Slovenija;2012;Slabo stanje stanovanja;38
Jugovzhodna Slovenija;2013;Slabo stanje stanovanja;28
Jugovzhodna Slovenija;2014;Slabo stanje stanovanja;34
Jugovzhodna Slovenija;2015;Slabo stanje stanovanja;30
Jugovzhodna Slovenija;2016;Slabo stanje stanovanja;21
Jugovzhodna Slovenija;2017;Slabo stanje stanovanja;22
Osrednjeslovenska;2008;Slabo stanje stanovanja;30
Osrednjeslovenska;2009;Slabo stanje stanovanja;28
Osrednjeslovenska;2010;Slabo stanje stanovanja;31
Osrednjeslovenska;2011;Slabo stanje stanovanja;32
Osrednjeslovenska;2012;Slabo stanje stanovanja;29
Osrednjeslovenska;2013;Slabo stanje stanovanja;26
Osrednjeslovenska;2014;Slabo stanje stanovanja;28
Osrednjeslovenska;2015;Slabo stanje stanovanja;24
Osrednjeslovenska;2016;Slabo stanje stanovanja;20
Osrednjeslovenska;2017;Slabo stanje stanovanja;19
Gorenjska;2008;Slabo stanje stanovanja;25
Gorenjska;2009;Slabo stanje stanovanja;26
Gorenjska;2010;Slabo stanje stanovanja;29
Gorenjska;2011;Slabo stanje stanovanja;34
Gorenjska;2012;Slabo stanje stanovanja;29
Gorenjska;2013;Slabo stanje stanovanja;25
Gorenjska;2014;Slabo stanje stanovanja;28
Gorenjska;2015;Slabo stanje stanovanja;25
Gorenjska;2016;Slabo stanje stanovanja;22
Gorenjska;2017;Slabo stanje stanovanja;18
Primorsko-notranjska;2008;Slabo stanje stanovanja;24
Primorsko-notranjska;2009;Slabo stanje stanovanja;39
Primorsko-notranjska;2010;Slabo stanje stanovanja;30
Primorsko-notranjska;2011;Slabo stanje stanovanja;45
Primorsko-notranjska;2012;Slabo stanje stanovanja;38
Primorsko-notranjska;2013;Slabo stanje stanovanja;37
Primorsko-notranjska;2014;Slabo stanje stanovanja;40
Primorsko-notranjska;2015;Slabo stanje stanovanja;24
Primorsko-notranjska;2016;Slabo stanje stanovanja;21
Primorsko-notranjska;2017;Slabo stanje stanovanja;23
Goriška;2008;Slabo stanje stanovanja;35
Goriška;2009;Slabo stanje stanovanja;35
Goriška;2010;Slabo stanje stanovanja;37
Goriška;2011;Slabo stanje stanovanja;41
Goriška;2012;Slabo stanje stanovanja;39
Goriška;2013;Slabo stanje stanovanja;31
Goriška;2014;Slabo stanje stanovanja;37
Goriška;2015;Slabo stanje stanovanja;33
Goriška;2016;Slabo stanje stanovanja;30
Goriška;2017;Slabo stanje stanovanja;32
Obalno-kraška;2008;Slabo stanje stanovanja;27
Obalno-kraška;2009;Slabo stanje stanovanja;28
Obalno-kraška;2010;Slabo stanje stanovanja;34
Obalno-kraška;2011;Slabo stanje stanovanja;42
Obalno-kraška;2012;Slabo stanje stanovanja;32
Obalno-kraška;2013;Slabo stanje stanovanja;32
Obalno-kraška;2014;Slabo stanje stanovanja;43
Obalno-kraška;2015;Slabo stanje stanovanja;27
Obalno-kraška;2016;Slabo stanje stanovanja;23
Obalno-kraška;2017;Slabo stanje stanovanja;26
